"continent","population","life_expectancy","confirmed","recovered","deaths","apli_vac","base.mean_ind","ind_human_development_index"
"1","Asia",38928341,64.83,56454,51550,2484,"Com vacina",39.5854975124378,"Baixo"
"2","Africa",32866268,61.15,22311,20493,537,"Com vacina",70.3684042553191,"Baixo"
"3","Europe",2877800,78.57,125157,91271,2235,"Com vacina",63.6424438902743,"Alto"
"4","Europe",77265,83.73,12010,11315,115,"Com vacina",48.0161772151899,"Alto"
"5","Asia",9890400,77.97,461444,445355,1497,"Com vacina",51.8960046728972,"Alto"
"6","South America",45195777,76.67,2348821,2102616,55858,"Com vacina",72.3967543859649,"Alto"
"9","Oceania",25499881,83.44,29305,25813,909,"Com vacina",58.7102784222738,"Alto"
"10","Europe",9006400,81.54,545431,485382,9170,"Com vacina",60.4176309226933,"Alto"
"11","Asia",10139175,73,261713,238125,3567,"Com vacina",77.1190909090909,"Alto"
"12","Africa",11890781,61.58,2810,773,6,"Sem vacina",14.9117213114754,"Baixo"
"13","Europe",11589616,81.63,882453,31130,23016,"Com vacina",57.6024881516588,"Alto"
"14","Africa",12123198,61.77,7100,6452,90,"Sem vacina",43.3813910761155,"Baixo"
"15","Africa",20903278,61.58,12717,12385,146,"Sem vacina",38.2382687338501,"Baixo"
"16","Asia",164689383,72.59,611295,542099,9046,"Com vacina",78.4055076142132,"Medio"
"17","Europe",6948445,75.05,342633,259561,13197,"Com vacina",49.6810539845758,"Alto"
"18","Asia",1701583,77.29,144445,135315,521,"Com vacina",61.4919154228856,"Alto"
"19","North America",393248,73.92,9119,8597,188,"Com vacina",76.1237795275591,"Alto"
"20","Europe",3280815,77.4,169626,130492,6599,"Sem vacina",54.0047193877551,"Alto"
"21","Europe",9449321,74.79,321807,312320,2247,"Com vacina",19.1576884422111,"Alto"
"22","North America",397621,74.62,12456,12090,317,"Com vacina",72.1431818181818,"Alto"
"23","South America",11673029,71.51,272411,221962,12257,"Com vacina",69.4891968911917,"Alto"
"24","South America",212559409,75.88,12763392,11181371,322138,"Com vacina",67.7402,"Alto"
"25","North America",287371,79.19,3652,3465,42,"Com vacina",57.7366842105263,"Alto"
"26","Asia",437483,75.86,212,194,3,"Sem vacina",42.1115721649485,"Alto"
"27","Asia",771612,71.78,873,869,1,"Com vacina",70.8724552429668,"Medio"
"28","Africa",2351625,69.59,39848,36958,568,"Sem vacina",60.5954768392371,"Alto"
"29","Africa",4829764,53.28,5161,4957,67,"Sem vacina",42.4349476439791,"Baixo"
"30","North America",37742157,82.43,982110,911293,22959,"Com vacina",61.6446635730858,"Alto"
"31","Europe",8654618,83.78,601124,317600,10337,"Com vacina",52.1034663341646,"Alto"
"32","South America",19116209,80.18,995538,931707,23135,"Com vacina",74.5965508684863,"Alto"
"33","Asia",1439323774,76.91,102734,0,4851,"Sem vacina",71.844275862069,"Alto"
"34","Africa",26378275,57.78,43889,40254,244,"Com vacina",41.4439637305699,"Baixo"
"35","Africa",26545864,59.29,47669,35261,721,"Sem vacina",46.8977749360614,"Baixo"
"36","Africa",89561404,60.68,28142,25444,743,"Sem vacina",49.8143523316062,"Baixo"
"37","Africa",5518092,64.57,9681,8208,135,"Sem vacina",59.7250785340314,"Baixo"
"38","South America",50882884,77.29,2406377,2285515,63422,"Com vacina",76.4772890025575,"Alto"
"40","Africa",555988,72.98,17470,16277,168,"Com vacina",68.6312466843501,"Medio"
"41","North America",5094114,80.28,216764,192699,2957,"Com vacina",63.7490792838875,"Alto"
"42","North America",11326616,78.8,75263,70614,424,"Sem vacina",74.2134025974026,"Alto"
"43","Europe",875899,80.98,45864,2057,256,"Com vacina",67.8051538461538,"Alto"
"44","Europe",10708982,79.38,1539725,1366461,26421,"Com vacina",58.1639898989899,"Alto"
"45","Europe",83783945,81.33,2843161,2684269,78354,"Com vacina",61.1203488372093,"Alto"
"46","Africa",988002,67.11,8002,6460,70,"Sem vacina",52.9701319261214,"Baixo"
"47","North America",71991,75,161,153,0,"Com vacina",43.3871733333333,"Alto"
"48","Europe",5792203,80.9,230603,218985,2419,"Com vacina",53.0119575471698,"Alto"
"49","North America",10847904,74.08,252727,212156,3325,"Com vacina",74.444494949495,"Alto"
"50","Africa",43851043,76.88,117192,81538,3093,"Com vacina",71.2600498753117,"Alto"
"51","South America",17643060,77.01,328755,281684,16847,"Com vacina",68.9745202020202,"Alto"
"52","Africa",102334403,71.99,202131,154694,11995,"Com vacina",60.485145631068,"Alto"
"53","Africa",3546427,66.32,3285,3029,10,"Sem vacina",86.9427393617021,"Baixo"
"54","Europe",46754783,83.56,3284353,150376,75459,"Com vacina",63.3842823529412,"Alto"
"55","Europe",1326539,78.74,106424,81859,902,"Com vacina",44.2314962593516,"Alto"
"56","Africa",114963583,66.6,206589,158109,2865,"Sem vacina",63.7895052083333,"Baixo"
"57","Europe",5540718,81.91,77452,46000,844,"Com vacina",43.142453271028,"Alto"
"58","Oceania",896444,67.44,67,64,2,"Sem vacina",52.0890398126464,"Alto"
"59","Europe",68147687,82.66,4644423,294638,95640,"Com vacina",59.1442494226328,"Alto"
"60","Africa",2225728,66.47,19550,16609,118,"Com vacina",73.0683550913838,"Alto"
"61","Europe",67886004,81.32,4345788,344,126713,"Com vacina",66.6920187793427,"Alto"
"62","Asia",3989175,73.77,281761,273167,3778,"Com vacina",70.189775,"Alto"
"63","Africa",31072945,64.07,90583,88065,743,"Com vacina",49.4274412532637,"Medio"
"64","Africa",13132792,61.6,19908,16619,125,"Com vacina",60.5333333333333,"Baixo"
"65","Africa",2416664,62.05,5459,5070,165,"Com vacina",60.5548947368421,"Baixo"
"68","Europe",10423056,82.24,263689,93764,8093,"Com vacina",67.607975,"Alto"
"70","North America",17915567,74.3,193834,177235,6840,"Com vacina",68.1514914425428,"Medio"
"71","South America",786559,69.91,10249,9098,231,"Com vacina",70.9297142857143,"Medio"
"72","North America",9904608,75.27,189043,72732,4605,"Com vacina",87.4747012987013,"Medio"
"73","Europe",4105268,78.49,271632,254379,5947,"Com vacina",48.3796259351621,"Alto"
"74","North America",11402533,64,12758,11043,252,"Sem vacina",51.0947480106101,"Baixo"
"75","Europe",9660350,76.88,652433,406935,20737,"Com vacina",62.0266666666667,"Alto"
"76","Asia",273523621,71.72,1511712,1348330,40858,"Com vacina",62.4743037974684,"Alto"
"77","Asia",1380004385,69.66,12220634,11472334,162369,"Com vacina",67.5955503512881,"Medio"
"78","Europe",4937796,82.3,235854,23364,4687,"Com vacina",70.780201511335,"Alto"
"79","Asia",83992953,76.68,1885564,1617333,62665,"Com vacina",60.6399754299754,"Alto"
"80","Asia",40222503,70.6,850924,759560,14323,"Com vacina",72.8042288557214,"Medio"
"81","Europe",341250,82.99,6205,6058,29,"Com vacina",44.9122055137845,"Alto"
"82","Asia",8655541,82.97,833105,819665,6209,"Com vacina",66.8245320197044,"Alto"
"83","Europe",60461828,83.51,3583668,2913045,109346,"Com vacina",68.2230516431925,"Alto"
"84","North America",2961161,74.47,39237,17598,596,"Com vacina",73.3724611398964,"Alto"
"85","Asia",10203140,74.53,611577,513144,6858,"Com vacina",69.7546700507614,"Alto"
"86","Asia",126476458,84.63,475063,444845,9175,"Com vacina",37.1945517241379,"Alto"
"87","Asia",18776707,73.6,297472,268564,3232,"Com vacina",75.2992447916667,"Alto"
"88","Africa",53771300,66.7,134058,92679,2153,"Com vacina",69.2485421994885,"Medio"
"89","Asia",6524191,71.45,88538,84897,1500,"Sem vacina",64.2553298153034,"Medio"
"90","Asia",16718971,69.82,2440,1191,11,"Com vacina",43.107511627907,"Baixo"
"92","Asia",51269183,83.03,103639,95439,1735,"Com vacina",52.3622018348624,"Alto"
"93","Asia",4270563,75.49,232103,216580,1313,"Com vacina",71.3003482587065,"Alto"
"94","Asia",7275556,67.92,49,45,0,"Com vacina",38.6627613941019,"Medio"
"95","Asia",6825442,78.93,468400,370687,6234,"Com vacina",72.1217530864198,"Alto"
"96","Africa",5057677,64.1,2042,1899,85,"Sem vacina",60.800498687664,"Baixo"
"97","Africa",6871287,72.91,158957,147147,2667,"Sem vacina",82.8858524173028,"Alto"
"100","Asia",21413250,76.98,92706,89251,568,"Com vacina",56.6799069767442,"Alto"
"101","Africa",2142252,54.33,10706,4471,315,"Sem vacina",60.7849226006192,"Baixo"
"102","Europe",2722291,75.93,216119,199023,3574,"Com vacina",54.1036020151134,"Alto"
"103","Europe",625976,82.25,61642,57092,746,"Com vacina",52.9965422885572,"Alto"
"104","Europe",1886202,75.29,102363,93631,1899,"Com vacina",51.9211838790932,"Alto"
"105","Africa",36910558,76.68,496097,483363,8818,"Com vacina",68.4261575178998,"Medio"
"106","Europe",39244,86.75,2288,2115,28,"Com vacina",62.6429974811083,"Alto"
"107","Europe",4033963,71.9,230241,207852,4960,"Com vacina",62.7836503856041,"Alto"
"108","Africa",27691019,67.04,24426,21908,418,"Sem vacina",55.0257824933687,"Baixo"
"110","North America",128932753,75.05,2238887,1765244,203210,"Com vacina",58.2767105263158,"Alto"
"113","Africa",20250834,59.31,10042,6830,385,"Sem vacina",50.1586827956989,"Baixo"
"114","Europe",441539,82.53,29033,27812,392,"Com vacina",52.0615952380952,"Alto"
"115","Asia",54409794,67.13,142434,131800,3206,"Com vacina",77.8588378378378,"Baixo"
"117","Asia",3278292,69.87,8841,5070,8,"Com vacina",65.0436175710594,"Alto"
"118","Africa",31255435,60.85,67579,56409,775,"Com vacina",59.9418133333333,"Baixo"
"119","Africa",4649660,64.92,17847,17093,449,"Sem vacina",47.9992950391645,"Baixo"
"120","Africa",1271767,74.99,1028,643,12,"Com vacina",36.5563060686016,"Alto"
"121","Africa",19129955,64.26,33551,30272,1117,"Com vacina",54.3196195652174,"Baixo"
"122","Asia",32365998,76.16,345500,329624,1272,"Com vacina",61.028287037037,"Alto"
"123","Africa",2540916,63.71,44139,41848,523,"Com vacina",51.9167624020888,"Medio"
"124","Africa",24206636,62.42,5001,4590,186,"Sem vacina",30.6580636604775,"Baixo"
"125","Africa",206139587,54.69,162891,151648,2057,"Com vacina",61.3322110552764,"Baixo"
"126","North America",6624554,74.48,6677,4225,178,"Sem vacina",13.6496560846561,"Medio"
"127","Europe",17134873,82.28,1272364,0,16535,"Com vacina",62.7927318295739,"Alto"
"128","Europe",5421242,82.4,96079,17998,673,"Com vacina",52.8089775561097,"Alto"
"129","Asia",29136808,70.78,277309,272786,3030,"Com vacina",65.6771990740741,"Medio"
"130","Oceania",4822233,82.29,2501,2408,26,"Com vacina",37.4822361809045,"Alto"
"131","Asia",5106622,77.86,159218,143966,1678,"Com vacina",67.022960199005,"Alto"
"132","Asia",220892331,67.27,672931,605274,14530,"Com vacina",61.5961596009975,"Baixo"
"133","North America",4314768,78.51,355051,343904,6114,"Com vacina",76.6524484536082,"Alto"
"134","South America",32971846,76.74,1548807,1468457,52008,"Com vacina",69.6611529933481,"Alto"
"135","Asia",109581085,71.23,747288,603746,13297,"Com vacina",70.5728103044496,"Alto"
"136","Oceania",8947027,64.5,5991,846,60,"Sem vacina",53.0424668435013,"Baixo"
"137","Europe",37846605,78.73,2321717,1861925,53045,"Com vacina",60.400534351145,"Alto"
"138","Europe",10196707,82.05,821722,778210,16848,"Com vacina",68.4004,"Alto"
"139","South America",7132530,74.25,214667,175614,4206,"Com vacina",70.8132051282051,"Alto"
"140","Asia",2881060,80.23,179964,164121,291,"Com vacina",68.7835264483627,"Alto"
"141","Europe",19237682,76.05,952803,850672,23538,"Com vacina",61.624625,"Alto"
"142","Europe",145934460,72.58,4494234,4118709,97219,"Com vacina",52.329765258216,"Alto"
"143","Africa",12952209,69.02,21783,20182,307,"Com vacina",71.1970496083551,"Baixo"
"144","Asia",34813867,75.13,390007,378083,6669,"Com vacina",62.6958734177215,"Alto"
"145","Africa",43849269,65.31,31833,24214,2063,"Sem vacina",53.216875,"Baixo"
"146","Africa",16743930,67.94,38705,37321,1051,"Com vacina",46.7004773869347,"Baixo"
"147","Asia",5850343,83.62,60381,60149,30,"Com vacina",50.1427649769585,"Alto"
"148","Oceania",686878,73,19,18,0,"Com vacina",36.6943274853801,"Baixo"
"149","Africa",7976985,54.7,3980,2812,79,"Com vacina",46.6760109289618,"Baixo"
"150","North America",6486201,73.32,64726,61640,2006,"Com vacina",69.067037037037,"Medio"
"151","Europe",33938,84.97,4730,4128,84,"Com vacina",52.1714536340852,"Alto"
"152","Africa",15893219,57.4,11398,4819,529,"Sem vacina",38.1893700787402,"Baixo"
"153","Europe",6804596,76,600596,15564,5308,"Com vacina",57.72995,"Alto"
"154","Africa",11193729,57.85,10165,9668,109,"Sem vacina",66.2603878116343,"Baixo"
"156","South America",586634,71.68,9122,8598,177,"Com vacina",71.9522193211488,"Alto"
"157","Europe",5459643,77.54,361185,255300,9719,"Com vacina",58.5168286445013,"Alto"
"158","Europe",2078932,81.32,215602,198524,4047,"Com vacina",58.5780896226415,"Alto"
"159","Europe",10099270,82.8,813191,0,13466,"Com vacina",55.9597411764706,"Alto"
"160","Africa",1160164,60.19,17337,16528,667,"Sem vacina",69.3963968668407,"Medio"
"161","Africa",98340,73.4,4135,3745,22,"Com vacina",44.7467362924282,"Alto"
"162","Asia",17500657,72.7,18909,12731,1265,"Sem vacina",54.0792,"Baixo"
"163","Africa",16425859,54.24,4533,4140,164,"Sem vacina",62.1873015873016,"Baixo"
"164","Africa",8278737,61.04,10249,7815,109,"Com vacina",54.8995165394402,"Baixo"
"165","Asia",69799978,77.15,28863,27426,94,"Com vacina",47.1892052980132,"Alto"
"166","Asia",9537642,71.1,13308,13218,90,"Sem vacina",43.3927678571429,"Medio"
"167","Asia",1318442,69.5,604,189,0,"Sem vacina",42.9675733333333,"Medio"
"168","North America",1399491,73.51,8026,7615,142,"Com vacina",71.0191644908616,"Alto"
"169","Africa",11818618,76.7,254018,217293,8812,"Com vacina",57.6345801526718,"Alto"
"170","Asia",84339067,77.69,3317182,3014226,31537,"Com vacina",65.5289896373057,"Alto"
"171","Africa",59734213,65.46,509,183,21,"Sem vacina",23.6186614173228,"Baixo"
"172","Africa",45741000,63.37,40867,40449,335,"Com vacina",68.8128723404255,"Baixo"
"173","Europe",43733759,72.06,1725029,1360944,34456,"Com vacina",62.7087817258883,"Alto"
"174","South America",3473727,77.91,105549,83380,974,"Com vacina",54.8053125,"Alto"
"175","North America",331002647,78.86,30460834,6298082,552277,"Com vacina",61.2974712643678,"Alto"
"176","Asia",33469199,71.72,82869,80983,629,"Sem vacina",55.9334293193717,"Alto"
"178","South America",28435943,72.06,160497,147846,1602,"Com vacina",84.7358485639687,"Alto"
"179","Asia",97338583,75.4,2603,2359,35,"Com vacina",61.1537788018433,"Alto"
"180","Oceania",307150,70.47,3,1,0,"Sem vacina",24.8044366197183,"Medio"
"182","Asia",29825968,66.12,4357,1676,888,"Sem vacina",33.7336516853933,"Baixo"
"183","Africa",59308690,64.13,1548157,1474319,52846,"Com vacina",58.7465871121718,"Alto"
"184","Africa",18383956,63.89,88418,84592,1208,"Sem vacina",46.1555408970976,"Baixo"
"185","Africa",14862927,61.49,36882,34686,1523,"Com vacina",75.5379575596817,"Baixo"
